# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.200000000000000000e+01 1.399999999999999911e+00 -1.728293256147050705e-01
1.198808138999999962e+01 1.198808138999999962e+01 1.399999999999999911e+00 -1.728301671872969625e-01
1.197616277999999923e+01 1.197616277999999923e+01 1.399999999999999911e+00 -1.728310117796387213e-01
1.196424417000000062e+01 1.196424417000000062e+01 1.399999999999999911e+00 -1.728318593963433236e-01
1.195232556000000024e+01 1.195232556000000024e+01 1.399999999999999911e+00 -1.728327100419183027e-01
1.194040694999999985e+01 1.194040694999999985e+01 1.399999999999999911e+00 -1.728335637207636388e-01
1.192848833999999947e+01 1.192848833999999947e+01 1.399999999999999911e+00 -1.728344204371696780e-01
1.191656973000000086e+01 1.191656973000000086e+01 1.399999999999999911e+00 -1.728352801953147999e-01
1.190465112000000047e+01 1.190465112000000047e+01 1.399999999999999911e+00 -1.728361429992633924e-01
1.189273250999999831e+01 1.189273250999999831e+01 1.399999999999999689e+00 -1.728370088529634918e-01
1.188081389999999971e+01 1.188081389999999971e+01 1.399999999999999911e+00 -1.728378777602444794e-01
1.186889529000000110e+01 1.186889529000000110e+01 1.399999999999999911e+00 -1.728387497248149718e-01
1.185697667999999894e+01 1.185697667999999894e+01 1.399999999999999911e+00 -1.728396247502603233e-01
1.184505806999999855e+01 1.184505806999999855e+01 1.399999999999999911e+00 -1.728405028400401833e-01
1.183313945999999994e+01 1.183313945999999994e+01 1.399999999999999689e+00 -1.728413839974863586e-01
1.182122085000000133e+01 1.182122085000000133e+01 1.399999999999999911e+00 -1.728422682258000387e-01
1.180930223999999917e+01 1.180930223999999917e+01 1.399999999999999911e+00 -1.728431555280496856e-01
1.179738362999999879e+01 1.179738362999999879e+01 1.399999999999999911e+00 -1.728440459071681756e-01
1.178546502000000018e+01 1.178546502000000018e+01 1.399999999999999911e+00 -1.728449393659505506e-01
1.177354640999999980e+01 1.177354640999999980e+01 1.399999999999999689e+00 -1.728458359070512151e-01
1.176162779999999941e+01 1.176162779999999941e+01 1.399999999999999911e+00 -1.728467355329814381e-01
1.174970918999999903e+01 1.174970918999999903e+01 1.399999999999999911e+00 -1.728476382461066885e-01
1.173779057999999864e+01 1.173779057999999864e+01 1.399999999999999911e+00 -1.728485440486439706e-01
1.172587197000000003e+01 1.172587197000000003e+01 1.399999999999999911e+00 -1.728494529426589377e-01
1.171395335999999965e+01 1.171395335999999965e+01 1.399999999999999689e+00 -1.728503649300634215e-01
1.170203474999999926e+01 1.170203474999999926e+01 1.399999999999999911e+00 -1.728512800126121851e-01
1.169011613999999888e+01 1.169011613999999888e+01 1.399999999999999911e+00 -1.728521981919005912e-01
1.167819753000000027e+01 1.167819753000000027e+01 1.399999999999999911e+00 -1.728531194693612993e-01
1.166627891999999989e+01 1.166627891999999989e+01 1.399999999999999911e+00 -1.728540438462616013e-01
1.165436030999999772e+01 1.165436030999999772e+01 1.399999999999999689e+00 -1.728549713237003127e-01
1.164244169999999912e+01 1.164244169999999912e+01 1.399999999999999911e+00 -1.728559019026046639e-01
1.163052309000000051e+01 1.163052309000000051e+01 1.399999999999999911e+00 -1.728568355837276360e-01
1.161860448000000012e+01 1.161860448000000012e+01 1.399999999999999689e+00 -1.728577723676444078e-01
1.160668586999999796e+01 1.160668586999999796e+01 1.399999999999999911e+00 -1.728587122547494415e-01
1.159476725999999935e+01 1.159476725999999935e+01 1.399999999999999689e+00 -1.728596552452534019e-01
1.158284865000000075e+01 1.158284865000000075e+01 1.399999999999999911e+00 -1.728606013391795759e-01
1.157093004000000036e+01 1.157093004000000036e+01 1.399999999999999911e+00 -1.728615505363610139e-01
1.155901142999999998e+01 1.155901142999999998e+01 1.399999999999999911e+00 -1.728625028364369209e-01
1.154709282000000137e+01 1.154709282000000137e+01 1.400000000000000133e+00 -1.728634582388493546e-01
1.153517421000000098e+01 1.153517421000000098e+01 1.399999999999999911e+00 -1.728644167428398659e-01
1.152325560000000060e+01 1.152325560000000060e+01 1.399999999999999911e+00 -1.728653783474460026e-01
1.151133699000000021e+01 1.151133699000000021e+01 1.399999999999999911e+00 -1.728663430514977839e-01
1.149941838000000160e+01 1.149941838000000160e+01 1.399999999999999911e+00 -1.728673108536143976e-01
1.148749976999999944e+01 1.148749976999999944e+01 1.400000000000000133e+00 -1.728682817553809370e-01
1.147558116000000084e+01 1.147558116000000084e+01 1.399999999999999911e+00 -1.728692557692438070e-01
1.146366255000000045e+01 1.146366255000000045e+01 1.399999999999999911e+00 -1.728702329100261226e-01
1.145174394000000007e+01 1.145174394000000007e+01 1.399999999999999911e+00 -1.728712131925705942e-01
1.143982532999999968e+01 1.143982532999999968e+01 1.399999999999999911e+00 -1.728721966317385839e-01
1.142790672000000107e+01 1.142790672000000107e+01 1.400000000000000133e+00 -1.728731832424095227e-01
1.141598811000000069e+01 1.141598811000000069e+01 1.399999999999999911e+00 -1.728741730394800780e-01
1.140406950000000030e+01 1.140406950000000030e+01 1.399999999999999911e+00 -1.728751660378632926e-01
1.139215088999999992e+01 1.139215088999999992e+01 1.399999999999999911e+00 -1.728761622524878361e-01
1.138023228000000131e+01 1.138023228000000131e+01 1.399999999999999911e+00 -1.728771616982971715e-01
1.136831366999999915e+01 1.136831366999999915e+01 1.399999999999999911e+00 -1.728781643902486398e-01
1.135639506000000054e+01 1.135639506000000054e+01 1.399999999999999911e+00 -1.728791703433127103e-01
1.134447645000000016e+01 1.134447645000000016e+01 1.399999999999999911e+00 -1.728801795724719537e-01
1.133255783999999977e+01 1.133255783999999977e+01 1.399999999999999911e+00 -1.728811920927202928e-01
1.132063922999999939e+01 1.132063922999999939e+01 1.399999999999999911e+00 -1.728822079190619754e-01
1.130872062000000078e+01 1.130872062000000078e+01 1.399999999999999911e+00 -1.728832270665106863e-01
1.129680201000000039e+01 1.129680201000000039e+01 1.399999999999999911e+00 -1.728842495500885756e-01
1.128488340000000001e+01 1.128488340000000001e+01 1.399999999999999911e+00 -1.728852753848252599e-01
1.127296478999999962e+01 1.127296478999999962e+01 1.399999999999999911e+00 -1.728863045857569614e-01
1.126104618000000102e+01 1.126104618000000102e+01 1.399999999999999911e+00 -1.728873371679252313e-01
1.124912756999999885e+01 1.124912756999999885e+01 1.399999999999999911e+00 -1.728883731463762286e-01
1.123720896000000025e+01 1.123720896000000025e+01 1.399999999999999911e+00 -1.728894125361594425e-01
1.122529034999999986e+01 1.122529034999999986e+01 1.399999999999999911e+00 -1.728904553523267218e-01
1.121337174000000125e+01 1.121337174000000125e+01 1.399999999999999911e+00 -1.728915016099311086e-01
1.120145312999999909e+01 1.120145312999999909e+01 1.399999999999999911e+00 -1.728925513240258394e-01
1.118953452000000048e+01 1.118953452000000048e+01 1.399999999999999911e+00 -1.728936045096630403e-01
1.117761591000000010e+01 1.117761591000000010e+01 1.399999999999999911e+00 -1.728946611818927281e-01
1.116569729999999971e+01 1.116569729999999971e+01 1.399999999999999911e+00 -1.728957213557615891e-01
1.115377868999999933e+01 1.115377868999999933e+01 1.399999999999999911e+00 -1.728967850463116462e-01
1.114186008000000072e+01 1.114186008000000072e+01 1.399999999999999911e+00 -1.728978522685792329e-01
1.112994146999999856e+01 1.112994146999999856e+01 1.399999999999999911e+00 -1.728989230375935493e-01
1.111802285999999995e+01 1.111802285999999995e+01 1.399999999999999911e+00 -1.728999973683755520e-01
1.110610424999999957e+01 1.110610424999999957e+01 1.399999999999999911e+00 -1.729010752759365388e-01
1.109418564000000096e+01 1.109418564000000096e+01 1.399999999999999911e+00 -1.729021567752768718e-01
1.108226702999999880e+01 1.108226702999999880e+01 1.399999999999999911e+00 -1.729032418813846173e-01
1.107034842000000019e+01 1.107034842000000019e+01 1.399999999999999911e+00 -1.729043306092341303e-01
1.105842980999999980e+01 1.105842980999999980e+01 1.399999999999999911e+00 -1.729054229737847503e-01
1.104651119999999942e+01 1.104651119999999942e+01 1.399999999999999911e+00 -1.729065189899792743e-01
1.103459258999999903e+01 1.103459258999999903e+01 1.399999999999999911e+00 -1.729076186727425135e-01
1.102267398000000043e+01 1.102267398000000043e+01 1.399999999999999911e+00 -1.729087220369798783e-01
1.101075536999999827e+01 1.101075536999999827e+01 1.399999999999999911e+00 -1.729098290975757679e-01
1.099883675999999966e+01 1.099883675999999966e+01 1.399999999999999911e+00 -1.729109398693816080e-01
1.098691814999999927e+01 1.098691814999999927e+01 1.399999999999999911e+00 -1.729120543522781883e-01
1.097499954000000066e+01 1.097499954000000066e+01 1.399999999999999911e+00 -1.729131725009981635e-01
1.096308093000000028e+01 1.096308093000000028e+01 1.400000000000000133e+00 -1.729142942609378786e-01
1.095116232000000167e+01 1.095116232000000167e+01 1.399999999999999911e+00 -1.729154195764089907e-01
1.093924371000000129e+01 1.093924371000000129e+01 1.399999999999999911e+00 -1.729165483906227319e-01
1.092732509999999913e+01 1.092732509999999913e+01 1.399999999999999911e+00 -1.729176806456744486e-01
1.091540649000000052e+01 1.091540649000000052e+01 1.399999999999999911e+00 -1.729188162825274488e-01
1.090348788000000191e+01 1.090348788000000191e+01 1.400000000000000133e+00 -1.729199552409968477e-01
1.089156927000000152e+01 1.089156927000000152e+01 1.399999999999999911e+00 -1.729210974597333306e-01
1.087965065999999936e+01 1.087965065999999936e+01 1.399999999999999911e+00 -1.729222428762064723e-01
1.086773205000000075e+01 1.086773205000000075e+01 1.399999999999999911e+00 -1.729233914266877781e-01
1.085581344000000215e+01 1.085581344000000215e+01 1.399999999999999911e+00 -1.729245430462337807e-01
1.084389482999999998e+01 1.084389482999999998e+01 1.400000000000000133e+00 -1.729256976686686931e-01
1.083197621999999960e+01 1.083197621999999960e+01 1.399999999999999911e+00 -1.729268552265667835e-01
1.082005761000000099e+01 1.082005761000000099e+01 1.399999999999999911e+00 -1.729280156512346678e-01
1.080813900000000061e+01 1.080813900000000061e+01 1.399999999999999911e+00 -1.729291788726932400e-01
1.079622039000000022e+01 1.079622039000000022e+01 1.399999999999999911e+00 -1.729303448196594095e-01
1.078430177999999984e+01 1.078430177999999984e+01 1.399999999999999911e+00 -1.729315134195275327e-01
1.077238317000000123e+01 1.077238317000000123e+01 1.399999999999999911e+00 -1.729326845983506222e-01
1.076046456000000084e+01 1.076046456000000084e+01 1.399999999999999911e+00 -1.729338582808213343e-01
1.074854595000000046e+01 1.074854595000000046e+01 1.399999999999999911e+00 -1.729350343902525677e-01
1.073662734000000007e+01 1.073662734000000007e+01 1.399999999999999911e+00 -1.729362128485579519e-01
1.072470872999999969e+01 1.072470872999999969e+01 1.399999999999999911e+00 -1.729373935762319181e-01
1.071279012000000108e+01 1.071279012000000108e+01 1.399999999999999911e+00 -1.729385764923296598e-01
1.070087151000000070e+01 1.070087151000000070e+01 1.399999999999999911e+00 -1.729397615144465938e-01
1.068895290000000031e+01 1.068895290000000031e+01 1.399999999999999911e+00 -1.729409485586977102e-01
1.067703428999999993e+01 1.067703428999999993e+01 1.399999999999999911e+00 -1.729421375396966165e-01
1.066511568000000132e+01 1.066511568000000132e+01 1.399999999999999911e+00 -1.729433283705341939e-01
1.065319707000000093e+01 1.065319707000000093e+01 1.399999999999999911e+00 -1.729445209627570312e-01
1.064127845999999877e+01 1.064127845999999877e+01 1.399999999999999911e+00 -1.729457152263455810e-01
1.062935985000000016e+01 1.062935985000000016e+01 1.399999999999999911e+00 -1.729469110696918721e-01
1.061744124000000156e+01 1.061744124000000156e+01 1.399999999999999911e+00 -1.729481083995771107e-01
1.060552262999999940e+01 1.060552262999999940e+01 1.399999999999999911e+00 -1.729493071211488375e-01
1.059360401999999901e+01 1.059360401999999901e+01 1.399999999999999911e+00 -1.729505071378976966e-01
1.058168541000000040e+01 1.058168541000000040e+01 1.399999999999999911e+00 -1.729517083516340925e-01
1.056976680000000179e+01 1.056976680000000179e+01 1.399999999999999911e+00 -1.729529106624643764e-01
1.055784818999999963e+01 1.055784818999999963e+01 1.399999999999999911e+00 -1.729541139687666151e-01
1.054592957999999925e+01 1.054592957999999925e+01 1.399999999999999911e+00 -1.729553181671663331e-01
1.053401097000000064e+01 1.053401097000000064e+01 1.399999999999999911e+00 -1.729565231525113933e-01
1.052209236000000026e+01 1.052209236000000026e+01 1.399999999999999911e+00 -1.729577288178471561e-01
1.051017374999999987e+01 1.051017374999999987e+01 1.399999999999999911e+00 -1.729589350543907500e-01
1.049825513999999949e+01 1.049825513999999949e+01 1.399999999999999911e+00 -1.729601417515848338e-01
1.048633652999999910e+01 1.048633652999999910e+01 1.399999999999999911e+00 -1.729613488350271733e-01
1.047441792000000049e+01 1.047441792000000049e+01 1.399999999999999911e+00 -1.729625563282038148e-01
1.046249931000000011e+01 1.046249931000000011e+01 1.399999999999999911e+00 -1.729637642708289347e-01
1.045058069999999972e+01 1.045058069999999972e+01 1.399999999999999911e+00 -1.729649727031434547e-01
1.043866208999999934e+01 1.043866208999999934e+01 1.399999999999999911e+00 -1.729661816659214257e-01
1.042674348000000073e+01 1.042674348000000073e+01 1.399999999999999911e+00 -1.729673912004763003e-01
1.041482487000000035e+01 1.041482487000000035e+01 1.399999999999999911e+00 -1.729686013486676222e-01
1.040290625999999818e+01 1.040290625999999818e+01 1.399999999999999911e+00 -1.729698121529074928e-01
1.039098764999999958e+01 1.039098764999999958e+01 1.399999999999999911e+00 -1.729710236561673165e-01
1.037906904000000097e+01 1.037906904000000097e+01 1.399999999999999911e+00 -1.729722359019844058e-01
1.036715043000000058e+01 1.036715043000000058e+01 1.399999999999999911e+00 -1.729734489344689763e-01
1.035523181999999842e+01 1.035523181999999842e+01 1.399999999999999911e+00 -1.729746627983109186e-01
1.034331320999999981e+01 1.034331320999999981e+01 1.399999999999999911e+00 -1.729758775387867931e-01
1.033139460000000120e+01 1.033139460000000120e+01 1.399999999999999911e+00 -1.729770932017669072e-01
1.031947598999999904e+01 1.031947598999999904e+01 1.399999999999999911e+00 -1.729783098337224490e-01
1.030755737999999866e+01 1.030755737999999866e+01 1.399999999999999911e+00 -1.729795274817326478e-01
1.029563877000000005e+01 1.029563877000000005e+01 1.399999999999999911e+00 -1.729807461934922408e-01
1.028372016000000144e+01 1.028372016000000144e+01 1.399999999999999911e+00 -1.729819660173186613e-01
1.027180154999999928e+01 1.027180154999999928e+01 1.399999999999999911e+00 -1.729831870021595885e-01
1.025988293999999890e+01 1.025988293999999890e+01 1.399999999999999911e+00 -1.729844091976005527e-01
